;Arabic;Asian;Black;Indigenous;Latin American;South Asian;White;Blank;Other;Arabic;Asian;Black;Indigenous;Latin American;South Asian;White;Blank;Other;Weighted sum;Total Probability
S;90;97;75;80;88;87;79;74;77;0.3310040456;2.6399411548;19.1430673042;24.5090106657;3.8837808018;7.1033468187;17.6653181317;3.2386906951;1.1044501655;79.618609783;79.618609783
s;70;100;75;69;55;55;70;74;62;0.257447591;2.7215888194;19.1430673042;21.1390216992;2.4273630011;4.490621552;15.6528135344;3.2386906951;0.8892975359;69.9599117323;69.9599117323
U;70;100;32;51;53;51;47;35;39;0.257447591;2.7215888194;8.1677087164;15.6244942994;2.3390952556;4.1640308937;10.5097462302;1.5318131666;0.5593968371;45.8753218095;45.8753218095
Mia;70;100;91;91;87;87;85;89;87;0.257447591;2.7215888194;23.2269216624;27.8789996322;3.839646929;7.1033468187;19.0069878632;3.8951820522;1.2478852519;89.1780066201;89.1780066201
Lua;100;99;98;100;100;100;100;99;100;0.3677822729;2.6943729312;25.0136079441;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.332842957;1.4343508643;99.4185362266;99.4185362266
Lub;0.00001;4.1;1.4;6.6;7.5;11;7.9;9.3;13;3.67782272894447E-008;0.1115851416;0.3573372563;2.0219933799;0.3310040456;0.8981243104;1.7665318132;0.4070246414;0.1864656124;6.0800662376;6.0800662376
Dia;100;100;99;100;100;100;100;99;100;0.3677822729;2.7215888194;25.2688488415;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.332842957;1.4343508643;99.7009930121;99.7009930121
Dib;0.00001;6.8;0.3;1.6;1.7;0.5;0.00001;1.7;2.6;3.67782272894447E-008;0.1850680397;0.0765722692;0.4901802133;0.0750275837;0.0408238323;2.23611621919823E-006;0.0744023538;0.0372931225;0.9793696874;0.9793696874
Doa;100;99;100;100;100;100;100;99;100;0.3677822729;2.6943729312;25.5240897389;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.332842957;1.4343508643;99.9290180213;99.9290180213
Dob;80;100;49;59;58;61;63;69;62;0.2942258183;2.7215888194;12.506803972;18.0753953659;2.5597646193;4.9805075395;14.0875321809;3.0198602427;0.8892975359;59.1349760942;59.1349760942
Hy;80;100;90;87;88;84;84;82;85;0.2942258183;2.7215888194;22.971680765;26.6535490989;3.8837808018;6.8584038249;18.7833762413;3.5888194189;1.2191982346;86.9746230232;86.9746230232
Joa;100;100;100;100;100;100;100;100;97;0.3677822729;2.7215888194;25.5240897389;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.3766090474;1.3913203384;99.9569694741;99.9569694741
Coa;100;100;100;100;100;100;100;100;100;0.3677822729;2.7215888194;25.5240897389;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.3766090474;1.4343508643;100;100
Cob;100;100;100;100;100;100;100;100;100;0.3677822729;2.7215888194;25.5240897389;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.3766090474;1.4343508643;100;100
Yta;100;100;100;100;100;100;100;100;100;0.3677822729;2.7215888194;25.5240897389;30.6362633321;4.4133872747;8.1647664583;22.361162192;4.3766090474;1.4343508643;100;100
Ytb;80;99;80;100;99;99;100;98;98;0.2942258183;2.6943729312;20.4192717911;30.6362633321;4.369253402;8.0831187937;22.361162192;4.2890768665;1.405663847;94.5524089739;94.5524089739
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;sum;;;;;;;;;;
N;10;74;694;833;120;222;608;119;39;2719;;;;;;;;;;
prop;0.0036778227;0.0272158882;0.2552408974;0.3063626333;0.0441338727;0.0816476646;0.2236116219;0.0437660905;0.0143435086;;;;;;;;;;;
