buttonLabel,buttonValue
A,24
B,15
O,59
AB,2.3
D,89
C,33
E,14
c,96
e,100
Cw,0.4
V,32
VS,37
hrS,99
hrB,92
K,2
k,100
Kpa,0.4
Kpb,100
Jsa,15
Jsb,100
Jka,75
Jkb,75
Fya,91
Fyb,47
Fy3,18
M,24
N,38
S,75
s,75
U,32
Mia,91
Lua,98
Lub,1.4
Dia,99
Dib,0.3
Doa,100
Dob,49
Hy,90
Joa,100
Coa,100
Cob,100
Yta,100
Ytb,80
